student_id,name,grade_level,preferred_format,baseline_score
stu_2364abe4,Jagvi Puri,Class 6,video,70
stu_334fec66,Jairaj Bobal,Class 6,video,55
stu_96ebcca8,Baljiwan Divan,Class 9,video,78
stu_6353080b,Raagini Sibal,Class 10,text,65
stu_5da426f9,Pavani Sahota,Class 9,video,40
stu_a0337ea9,Sarthak Hayre,Class 9,video,78
stu_ee8b3ea8,Xalak Varghese,Class 10,video,82
stu_cfc5c26a,Charvi Rattan,Class 7,video,71
stu_5b9f6ca2,Hemani Patil,Class 9,video,88
stu_fd6b4eca,Jeet Anne,Class 10,video,79
stu_0c38ae97,Dalaja Bose,Class 10,video,88
stu_c9ca39b7,Jason Bora,Class 9,text,41
stu_0d49d91f,Onveer Panchal,Class 8,video,69
stu_137c97ef,Zilmil Prabhakar,Class 6,video,42
stu_6107ba71,Rushil Palan,Class 6,text,81
stu_1b256726,Sanaya Gill,Class 9,video,68
stu_6167dedf,Jairaj Sachar,Class 7,video,76
stu_d62ae785,Abha Dhawan,Class 10,video,69
stu_82888661,Barkha Ratti,Class 7,text,76
stu_78e8bbdc,Benjamin Misra,Class 8,text,56
stu_77f5c520,Lekha Zacharia,Class 6,video,72
stu_881e6633,Amruta Sahni,Class 8,video,60
stu_0187f07a,Faraj Srinivasan,Class 6,video,63
stu_f94a60a4,Widisha Nagarajan,Class 7,text,67
stu_f6d79479,Zehaan Munshi,Class 8,video,56
stu_74f51e29,Anusha Banerjee,Class 8,text,45
stu_3dfbb85d,Siya Sampath,Class 8,video,44
stu_8dec2c45,Matthew Issac,Class 7,video,61
stu_b7240a71,Udarsh Mand,Class 8,video,52
stu_baa87214,Hardik Trivedi,Class 6,video,73
stu_5ccd36ee,Dhriti Kari,Class 9,video,38
stu_00e5ced9,Udyati Basu,Class 6,text,90
stu_9484c81c,Ranveer Gade,Class 8,text,64
stu_8ef652a5,Zilmil Mangal,Class 8,video,78
stu_deab6159,Chandran Natarajan,Class 8,video,56
stu_9f57acee,Logan Parmer,Class 9,video,39
stu_3de8d26a,Falan Chhabra,Class 10,video,66
stu_c24763e9,Charles Baral,Class 7,video,81
